,City,Name,Score,Link,Pets,Price
15,Barcelona,Ciutat de Barcelona,8.5,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,63
16,Barcelona,08028 Apartments,8.9,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,79
17,Barcelona,Hotel Royal Passeig de Gracia,8.6,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,93
19,Barcelona,Hotel Lleó,8.6,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,69
20,Barcelona,Paseo de Gracia Bas Apartments Barcelona,9.4,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,181
21,Barcelona,Ohla Barcelona,9.1,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",234
22,Barcelona,Hotel Jazz,9.1,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",100
23,Barcelona,NH Collection Barcelona Gran Hotel Calderon,8.6,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,145
24,Barcelona,Axel Hotel Barcelona & Urban Spa- Adults Only,8.6,https://www.booking.com/hotel/es/lleo.en-gb.html,Pets are not allowed.,66
25,Barcelona,Axel Hotel Barcelona & Urban Spa- Adults Only,8.6,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,66
26,Barcelona,Eurostars Grand Marina Hotel GL,8.3,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,137
27,Barcelona,Catalonia Ramblas 4* Sup,8.7,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,87
28,Barcelona,H10 Port Vell 4* Sup,9.1,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",139
29,Barcelona,Hotel Miramar Barcelona GL,8.4,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,220
30,Barcelona,Yurbban Passage Hotel & Spa,9.3,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,143
31,Barcelona,Catalonia Plaza Catalunya,8.8,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,87
32,Barcelona,Hotel Oasis,8.7,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,56
33,Barcelona,Barcelona Hotel Colonial,8.4,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,94
34,Barcelona,Midtown Apartments,9.5,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,119
35,Barcelona,Grupotel Gran Via 678,8.5,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,137
36,Barcelona,Catalonia Atenas,8.0,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,67
38,Barcelona,H10 Universitat,8.9,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,140
39,Barcelona,Catalonia Barcelona Plaza,8.8,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,92
40,Barcelona,Hotel Casa Luz,9.4,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,73
41,Barcelona,Barceló Sants,8.7,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,102
42,Barcelona,Hilton Diagonal Mar Barcelona,8.1,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,122
44,Barcelona,Hotel 54 Barceloneta,8.2,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,160
45,Barcelona,Apartments Sixtyfour,9.4,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,354
46,Barcelona,Hotel Market,8.1,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",55
47,Barcelona,Sercotel Amister Art Hotel Barcelona,8.4,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",76
48,Barcelona,Arc La Rambla,8.5,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,76
49,Barcelona,Hostal Paris,8.0,https://www.booking.com/hotel/es/lleo.en-gb.html,Pets are not allowed.,56
50,Barcelona,Citadines Ramblas Barcelona,8.4,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,85
51,Barcelona,SM Hotel Teatre Auditori,8.5,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,80
52,Barcelona,Catalonia Portal de l'Angel,8.9,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,66
53,Barcelona,Occidental Atenea Mar - Adults Only,8.3,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",106
54,Barcelona,Hotel Rec Barcelona - Adults Only,9.2,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,61
55,Barcelona,Gran Hotel Havana 4* Sup,8.7,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,87
56,Barcelona,Capri by Fraser Barcelona,8.7,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,111
57,Barcelona,H10 Marina Barcelona,8.4,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,121
58,Barcelona,Upper Diagonal,8.9,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,96
59,Barcelona,Boutique Hotel H10 Catalunya Plaza,9.0,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,136
60,Barcelona,Attica 21 Barcelona Mar,8.4,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,101
61,Barcelona,Sallés Hotel Pere IV,8.5,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,91
62,Barcelona,Ohla Eixample,9.1,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,214
63,Barcelona,Catalonia Passeig de Gràcia 4* Sup,9.2,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,97
64,Barcelona,Grupotel Gran Via 678,8.5,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,137
65,Barcelona,Best Western Premier Hotel Dante,8.9,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,83
66,Barcelona,Leonardo Hotel Barcelona Las Ramblas,8.4,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,65
67,Barcelona,Aparthotel Atenea Calabria,8.3,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,78
68,Barcelona,Hotel Pulitzer Barcelona,8.9,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,83
70,Barcelona,Residencia Universitaria Barcelona Diagonal,8.6,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,67
71,Barcelona,Hotel Suizo,8.3,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",83
72,Barcelona,Aparthotel Atenea Barcelona,8.2,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",70
73,Barcelona,H10 Metropolitan 4* Sup,9.2,https://www.booking.com/hotel/es/paseo-de-gracia-apartments-barcelona.en-gb.html,Pets are not allowed.,122
74,Barcelona,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,8.7,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,66
75,Barcelona,Praktik Rambla,8.9,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,75
76,Barcelona,Silken Ramblas,8.3,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,109
77,Barcelona,Claris Hotel & Spa GL,8.8,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,172
78,Barcelona,Hotel Continental Barcelona,8.6,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",90
79,Barcelona,Leonardo Hotel Barcelona Las Ramblas,8.4,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,65
80,Barcelona,Majestic Hotel & Spa Barcelona GL,9.0,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,264
81,Barcelona,Hotel Continental Palacete,8.7,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,100
82,Barcelona,Roca Rooms & Apartments,9.1,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,75
83,Barcelona,Barcelona Apartment Aramunt,8.0,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,114
84,Barcelona,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,8.7,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,66
85,Barcelona,H10 Casanova,8.8,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,111
86,Barcelona,Aparthotel Senator Barcelona,7.6,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,96
87,Barcelona,H10 Universitat,8.9,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,140
88,Barcelona,Eurohotel Diagonal Port,7.6,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,79
89,Barcelona,NH Barcelona Les Corts,8.4,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,65
90,Barcelona,Hotel Market,8.1,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,55
91,Barcelona,Hotel Best Front Maritim,7.5,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,101
92,Barcelona,Royal Ramblas,8.6,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,87
94,Barcelona,Apartaments St. Jordi Comtal,8.5,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,98
95,Barcelona,Hotel Santa Marta,8.6,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,73
96,Barcelona,ibis Styles Barcelona City Bogatell,8.6,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",56
97,Barcelona,Hotel Midmost,8.9,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",121
98,Barcelona,Casagrand Luxury Suites,9.6,https://www.booking.com/hotel/es/paseo-de-gracia-apartments-barcelona.en-gb.html,Pets are not allowed.,414
99,Barcelona,Aparthotel Napols - Abapart,8.4,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,90
100,Barcelona,May Ramblas Hotel,8.6,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,67
101,Barcelona,Praktik Bakery,8.8,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,65
102,Barcelona,H10 Madison 4* Sup,9.5,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,178
103,Barcelona,Hotel Alimara,8.3,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",60
104,Barcelona,Iberostar Selection Paseo de Gracia 4 Sup,9.2,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,200
105,Barcelona,La França Travellers Adults Only,8.2,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,63
106,Barcelona,Hotel Acta Azul Barcelona,8.2,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,76
107,Barcelona,Aparthotel Bertrán,8.5,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,73
108,Barcelona,Apartaments Sant Jordi Girona 97,8.6,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,98
109,Barcelona,Forget Me Not Plus,9.2,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,121
110,Barcelona,Suites Avenue,9.2,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,159
111,Barcelona,Catalonia La Maquinista,8.7,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,71
112,Barcelona,Hotel Barcelona Catedral,8.8,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,151
113,Barcelona,Silken Sant Gervasi,8.4,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,93
114,Barcelona,Catalonia Diagonal Centro,8.5,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,67
115,Barcelona,Catalonia Rigoletto,8.8,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,97
116,Barcelona,Ayre Hotel Gran Vía,8.9,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,81
117,Barcelona,Occidental Diagonal 414,9.1,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,94
118,Barcelona,H10 Metropolitan 4* Sup,9.2,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,122
120,Barcelona,Attica 21 Barcelona Mar,8.4,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,101
121,Barcelona,Alma Barcelona GL,9.4,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",340
122,Barcelona,Apartaments Ciutat Vella,8.1,https://www.booking.com/hotel/es/gran-via-678.en-gb.html,Pets are not allowed.,75
123,Barcelona,HCC Montblanc,8.5,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",76
124,Barcelona,H10 Urquinaona Plaza,9.2,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,107
125,Barcelona,Hotel Gótico,8.5,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,94
126,Barcelona,Room Mate Anna,9.0,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,151
127,Barcelona,Coronado,7.2,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,46
128,Barcelona,Acta Antibes,8.6,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",58
129,Barcelona,Hostel One Sants,8.8,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,78
130,Barcelona,Murmuri Residence Mercader,9.0,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,150
131,Barcelona,Catalonia Sagrada Familia,8.2,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,56
132,Barcelona,Sunotel Central,8.3,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,122
133,Barcelona,Barcelona Century Hotel,8.5,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,75
134,Barcelona,Hotel Granados 83,8.8,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,125
135,Barcelona,Praktik Garden,8.6,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,60
136,Barcelona,El Palace Barcelona,9.5,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,325
137,Barcelona,H La Paloma Adults Only,7.9,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,60
138,Barcelona,Blanc Guest House,8.9,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,73
139,Barcelona,The One Barcelona GL,9.4,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,225
140,Barcelona,Sunotel Aston,7.5,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,81
141,Barcelona,H10 Urquinaona Plaza,9.2,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,107
143,Barcelona,Hotel & Spa Villa Olimpica Suites,8.2,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,103
144,Barcelona,Ona Hotels Mosaic,8.7,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,139
145,Barcelona,Yurbban Trafalgar Hotel,9.3,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,110
146,Barcelona,H10 Madison 4* Sup,9.5,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",178
147,Barcelona,Hotel Brummell,9.4,https://www.booking.com/hotel/es/gran-via-678.en-gb.html,Pets are not allowed.,101
148,Barcelona,Hostal Barcelona Travel,7.9,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",88
149,Barcelona,Petit Palace Museum,8.6,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,99
150,Barcelona,Aparthotel Atenea Calabria,8.3,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,78
151,Barcelona,Catalonia Mikado,8.2,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,71
152,Barcelona,Blanc Guest House,8.9,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,73
153,Barcelona,Praktik Vinoteca,8.8,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",65
154,Barcelona,Barceló Raval,8.4,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,106
155,Barcelona,Hotel Ronda Lesseps,8.2,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,76
156,Barcelona,Barcelona Apartment Milà,8.7,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,126
157,Barcelona,Four Points by Sheraton Barcelona Diagonal,8.7,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,76
158,Barcelona,Hotel Palermo,7.2,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,51
159,Barcelona,Pierre & Vacances Barcelona Sants,8.4,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,74
160,Barcelona,Barcelona Apartment Villarroel,8.6,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,136
161,Barcelona,Ayre Hotel Gran Vía,8.9,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,81
162,Barcelona,Aparthotel Mariano Cubi Barcelona,8.4,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,142
163,Barcelona,Hotel America Barcelona,8.9,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,116
164,Barcelona,Hostalin Barcelona Gran Via,8.6,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,53
165,Barcelona,Almanac Barcelona,9.4,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,265
166,Barcelona,Hostal Barcelona Travel,7.9,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,88
167,Barcelona,Gallery Hotel,9.3,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,123
168,Barcelona,Seventy Barcelona,9.6,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,122
170,Barcelona,Ilunion Auditori,8.4,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,52
171,Barcelona,Hotel Internacional Ramblas,7.9,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",105
172,Barcelona,Hotel Balmes,8.7,https://www.booking.com/hotel/es/gran-via-678.en-gb.html,Pets are not allowed.,117
173,Barcelona,K+K Hotel Picasso El Born,8.6,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",161
174,Barcelona,Hostal Portugal,8.1,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,71
175,Barcelona,NH Collection Barcelona Constanza,8.8,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,95
176,Barcelona,Hotel America Barcelona,8.9,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,116
177,Barcelona,Aparthotel Mariano Cubi Barcelona,8.4,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,142
178,Barcelona,Hostalin Barcelona Gran Via,8.6,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",53
179,Barcelona,Almanac Barcelona,9.4,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,265
180,Barcelona,Pestana Arena Barcelona,8.7,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,84
181,Barcelona,Hostal Sans,7.9,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,57
182,Barcelona,Hotel Internacional Ramblas,7.9,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,105
183,Barcelona,Hotel Balmes,8.7,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,117
184,Barcelona,Ilunion Bel-Art,8.4,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,53
185,Barcelona,Hostal Portugal,8.1,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,71
186,Barcelona,Hotel Astoria,8.8,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,81
187,Barcelona,Hostalin Barcelona Passeig de Gràcia,8.7,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,61
188,Barcelona,Andante Hotel,8.7,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,82
189,Barcelona,Free Hostels Barcelona,8.7,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,96
190,Barcelona,Holiday Inn Express Barcelona City 22@,8.1,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,80
191,Barcelona,Abba Garden,8.3,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,78
192,Barcelona,Europark,9.0,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,86
194,Barcelona,Hotel Nuevo Triunfo,8.1,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,100
195,Barcelona,Catalonia Park Putxet,7.7,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,67
196,Barcelona,Hotel Derby,8.0,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",82
197,Barcelona,Catalonia Roma,8.4,https://www.booking.com/hotel/es/gran-via-678.en-gb.html,Pets are not allowed.,61
198,Barcelona,Suites Independencia - Abapart,7.9,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",57
199,Barcelona,Hostalin Barcelona Diputación,8.0,https://www.booking.com/hotel/es/paseo-de-gracia-apartments-barcelona.en-gb.html,Pets are not allowed.,57
200,Barcelona,Hostal Medea,8.2,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,49
201,Barcelona,Ilunion Bel-Art,8.4,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,53
202,Barcelona,Hostal Portugal,8.1,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,71
203,Barcelona,Catalonia Catedral,9.3,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",122
204,Barcelona,Gaudi Hotel,8.5,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,69
